Region ,Sub-Region,Cluster ,Office,Service Line Name  (group),Function,Sub Function,Cost Center Code,Cost Center Name,Case Group,Case Group Name,Case Code,Case Name,Cost Type,GL Account Name,GL Account,1,2,3,4,5,6,7,8,9,10,11,12
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7515,I&D Practice,75150201,I&D Practice - General,,,Compensation,Bonus - Individual Performance,61020000,0,0,0,0,0,0,0,0,0,0,0,0
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7515,I&D Practice,75150201,I&D Practice - General,,,Compensation,Bonus - Office Performance,61023000,0,0,0,0,0,0,0,0,0,0,0,0
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7515,I&D Practice,75150201,I&D Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,0,0,0,0,0,0,0,0,0,0,0,0
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7515,I&D Practice,75150201,I&D Practice - General,,,Compensation,Wages,61010000,0,0,0,0,0,0,0,0,0,0,0,0
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"64,863","64,863","64,863","68,884","68,884","68,884","68,884","68,884","68,884","68,884","68,884","68,884"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Compensation,Bonus - Office Performance,61023000,"10,332","10,332","10,332","10,973","10,973","10,973","10,973","10,973","10,973","10,973","10,973","10,973"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"84,247","84,247","84,247","89,450","89,450","89,450","89,450","89,450","89,450","89,450","89,450","89,450"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Compensation,Vacation Expense,61107000,-482,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Compensation,Wages,61010000,"218,350","218,350","218,350","231,815","231,815","231,815","231,815","231,815","231,815","231,815","231,815","231,815"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Programs,Other Operating Expenses,66000000,"25,600","25,600","25,600","25,600","25,600","25,600","25,600","25,600","25,600","25,600","28,800","35,200"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AMS Practice (L2),7940,AMS Practice,79400201,AMS Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"72,675","72,675","72,675","77,180","77,180","77,180","77,180","77,180","77,180","77,180","77,180","77,180"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AMS Practice (L2),7940,AMS Practice,79400201,AMS Practice - General,,,Compensation,Bonus - Office Performance,61023000,"13,882","13,882","13,882","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AMS Practice (L2),7940,AMS Practice,79400201,AMS Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"93,130","93,130","93,130","98,872","98,872","98,872","98,872","98,872","98,872","98,872","98,872","98,872"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AMS Practice (L2),7940,AMS Practice,79400201,AMS Practice - General,,,Compensation,Vacation Expense,61107000,"1,600",-384,-384,-384,-384,-384,-384,-384,-384,-384,-384,-384
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AMS Practice (L2),7940,AMS Practice,79400201,AMS Practice - General,,,Compensation,Wages,61010000,"237,939","237,939","237,939","252,579","252,579","252,579","252,579","252,579","252,579","252,579","252,579","252,579"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AMS Practice (L2),7940,AMS Practice,79400201,AMS Practice - General,,,Programs,Other Operating Expenses,66000000,"44,400","44,400","44,400","44,400","44,400","44,400","44,400","44,400","44,400","44,400","49,950","61,050"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AMS Practice (L2),7940,AMS Practice,79400203,AMS Practice - DBs,,,Programs,Other Operating Expenses,66000000,"56,025","56,025","56,025","56,025","56,025","56,025","56,025","56,025","56,025","56,025","56,025","56,025"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AMS Practice (L2),7940,AMS Practice,79400204,AMS Practice - BCN,,,Programs,Other Operating Expenses,66000000,"42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000","42,000"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000201,CP Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"48,595","48,595","48,595","51,608","51,608","51,608","51,608","51,608","51,608","51,608","51,608","51,608"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000201,CP Practice - General,,,Compensation,Bonus - Office Performance,61023000,"9,208","9,208","9,208","9,779","9,779","9,779","9,779","9,779","9,779","9,779","9,779","9,779"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000201,CP Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"72,782","72,782","72,782","76,896","76,896","76,896","76,896","76,896","76,896","76,896","76,896","76,896"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000201,CP Practice - General,,,Compensation,Vacation Expense,61107000,"-19,504","-17,765","-17,765","-17,765","-17,765","-17,765","-17,765","-17,765","-17,765","-17,765","-17,765","-17,867"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000201,CP Practice - General,,,Compensation,Wages,61010000,"195,792","195,792","195,792","206,542","206,542","206,542","206,542","206,542","206,542","206,542","206,542","206,542"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000201,CP Practice - General,,,Programs,Other Operating Expenses,66000000,"35,600","35,600","35,600","35,600","35,600","35,600","35,600","35,600","35,600","35,600","40,050","48,950"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000203,CP Practice - DBs,,,Programs,Other Operating Expenses,66000000,"199,042","199,042","199,042","199,042","199,042","199,042","199,042","199,042","199,042","199,042","199,042","199,042"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,CP Practice (L2),7600,CP Practice,76000204,CP Practice - BCN,,,Programs,Other Operating Expenses,66000000,"86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000","86,000"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"79,832","79,832","79,832","84,782","84,782","84,782","84,782","84,782","84,782","84,782","84,782","84,782"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Bonus - Office Performance,61023000,"11,699","11,699","11,699","12,424","12,424","12,424","12,424","12,424","12,424","12,424","12,424","12,424"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"123,818","123,818","123,818","131,494","131,494","131,494","131,494","131,494","131,494","131,494","131,494","131,494"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Vacation Expense,61107000,"-38,741","-39,095","-39,095","-39,095","-39,095","-39,095","-39,095","-39,095","-39,095","-39,095","-39,095","-39,095"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Compensation,Wages,61010000,"339,889","339,889","339,889","360,963","360,963","360,963","360,963","360,963","360,963","360,963","360,963","360,963"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Customer Practice (L2),7540,Customer Practice,75400201,Customer Practice - General,,,Programs,Other Operating Expenses,66000000,"52,320","52,320","52,320","52,320","52,320","52,320","52,320","52,320","52,320","52,320","58,860","72,190"
