Region ,Sub-Region,Cluster ,Office,Service Line Name  (group),Function,Sub Function,Cost Center Code,Cost Center Name,Case Group,Case Group Name,Case Code,Case Name,Cost Type,GL Account Name,GL Account,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Compensation,Bonus - Individual Performance,61020000,52814,52814,52814,55138,55138,55138,55138,55138,55138,55138,55138,55138
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Compensation,Bonus - Office Performance,61023000,8981,8981,8981,11365,11365,11365,11365,11365,11365,11365,11365,11365
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,79641,79641,79641,72854,72854,72854,72854,72854,72854,64651,64651,64651
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Compensation,Wages,61010000,181304,181304,181304,189282,189282,189282,189282,189282,189282,189282,189282,189282
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Programs,Other Operating Expenses,66000000,"69,167","69,167","69,167","69,167","69,167","69,167","69,167","69,167","69,167","69,167","69,167","69,167"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450201,AIS Practice - General,,,Programs,Travel - Other,61009000,"1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AIS Practice,7545,AIS Practice,75450204,AIS Practice - BCN,,,Programs,Other Operating Expenses,66000000,"21,417","21,417","21,417","21,417","21,417","21,417","21,417","21,417","21,417","21,417","21,417","21,417"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AMS Practice (L2),7940,AMS Practice,79400201,AMS Practice - General,,,Compensation,Bonus - Individual Performance,61020000,61676,61676,61676,64390,64390,64390,64390,64390,64390,64390,64390,64390
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AMS Practice (L2),7940,AMS Practice,79400201,AMS Practice - General,,,Compensation,Bonus - Office Performance,61023000,"11,513","11,513","11,513","14,569","14,569","14,569","14,569","14,569","14,569","14,569","14,569","14,569"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,AMS Practice (L2),7940,AMS Practice,79400201,AMS Practice - General,,,Compensation,Freelance Service Fees,61108000,"1,815","1,815","1,815","1,815","1,815","1,815","1,815","1,815","1,815","1,815","1,815","1,815"
