Practice,Summary Account,Period,Sum of USD Current Year Rate
AIS Practice,Bonus (Firm Perf.),1,"7,461"
AIS Practice,Bonus (Firm Perf.),2,"2,092"
AIS Practice,Bonus (Firm Perf.),3,"-22,741"
AIS Practice,Bonus (Firm Perf.),4,"7,390"
AIS Practice,Bonus (Firm Perf.),5,"8,212"
AIS Practice,Bonus (Firm Perf.),6,"10,264"
AIS Practice,Bonus (Firm Perf.),7,"8,583"
AIS Practice,Bonus (Firm Perf.),8,"1,013"
AIS Practice,Bonus (Firm Perf.),9,"2,723"
AIS Practice,Bonus (Firm Perf.),10,"6,680"
AIS Practice,Bonus (Firm Perf.),11,"5,798"
AIS Practice,Bonus (Firm Perf.),12,"6,034"
AIS Practice,Bonus (Individual Perf.),1,"49,174"
AIS Practice,Bonus (Individual Perf.),2,"-67,345"
AIS Practice,Bonus (Individual Perf.),3,"50,592"
AIS Practice,Bonus (Individual Perf.),4,"19,238"
AIS Practice,Bonus (Individual Perf.),5,"56,152"
AIS Practice,Bonus (Individual Perf.),6,"105,943"
AIS Practice,Bonus (Individual Perf.),7,"49,434"
AIS Practice,Bonus (Individual Perf.),8,"86,913"
AIS Practice,Bonus (Individual Perf.),9,"92,827"
AIS Practice,Bonus (Individual Perf.),10,"106,259"
AIS Practice,Bonus (Individual Perf.),11,"42,522"
AIS Practice,Bonus (Individual Perf.),12,"44,025"
AIS Practice,Bonus (Signing),1,194
AIS Practice,Bonus (Signing),2,388
AIS Practice,Bonus (Signing),3,145
AIS Practice,Bonus (Signing),5,194
AIS Practice,Bonus (Signing),6,97
AIS Practice,Bonus (Signing),7,97
AIS Practice,Bonus (Signing),8,109
AIS Practice,Bonus (Signing),9,109
AIS Practice,Bonus (Signing),10,109
AIS Practice,Bonus (Signing),12,593
AIS Practice,Fringe / Benefits,1,"41,673"
AIS Practice,Fringe / Benefits,2,"47,753"
AIS Practice,Fringe / Benefits,3,"80,112"
AIS Practice,Fringe / Benefits,4,"37,532"
AIS Practice,Fringe / Benefits,5,"57,049"
AIS Practice,Fringe / Benefits,6,"51,150"
AIS Practice,Fringe / Benefits,7,"-22,778"
AIS Practice,Fringe / Benefits,8,"26,671"
AIS Practice,Fringe / Benefits,9,"159,450"
AIS Practice,Fringe / Benefits,10,"71,854"
AIS Practice,Fringe / Benefits,11,"38,409"
AIS Practice,Fringe / Benefits,12,"38,022"
AIS Practice,Other Compensation,1,"1,712"
AIS Practice,Other Compensation,2,"-32,491"
AIS Practice,Other Compensation,3,"255,148"
AIS Practice,Other Compensation,4,"-34,242"
AIS Practice,Other Compensation,5,"-78,894"
AIS Practice,Other Compensation,6,"11,899"
AIS Practice,Other Compensation,7,"8,794"
AIS Practice,Other Compensation,8,"-17,143"
AIS Practice,Other Compensation,9,"87,975"
AIS Practice,Other Compensation,10,0
AIS Practice,Other Compensation,11,0
AIS Practice,Other Compensation,12,0
AIS Practice,Salary,1,"198,555"
AIS Practice,Salary,2,"198,865"
AIS Practice,Salary,3,"201,698"
AIS Practice,Salary,4,"231,894"
AIS Practice,Salary,5,"195,966"
AIS Practice,Salary,6,"194,202"
AIS Practice,Salary,7,"203,682"
AIS Practice,Salary,8,"161,068"
AIS Practice,Salary,9,"86,664"
AIS Practice,Salary,10,"157,849"
AIS Practice,Salary,11,"149,224"
AIS Practice,Salary,12,"166,638"
AMS Practice,Bonus (Firm Perf.),1,"7,611"
AMS Practice,Bonus (Firm Perf.),2,612
AMS Practice,Bonus (Firm Perf.),3,"-13,885"
AMS Practice,Bonus (Firm Perf.),4,"7,480"
AMS Practice,Bonus (Firm Perf.),5,"7,324"
AMS Practice,Bonus (Firm Perf.),6,"11,059"
AMS Practice,Bonus (Firm Perf.),7,"11,230"
AMS Practice,Bonus (Firm Perf.),8,"9,543"
AMS Practice,Bonus (Firm Perf.),9,"11,245"
AMS Practice,Bonus (Firm Perf.),10,"9,661"
AMS Practice,Bonus (Firm Perf.),11,"12,503"
AMS Practice,Bonus (Firm Perf.),12,"10,540"
AMS Practice,Bonus (Individual Perf.),1,"56,618"
AMS Practice,Bonus (Individual Perf.),2,"49,009"
AMS Practice,Bonus (Individual Perf.),3,"45,648"
AMS Practice,Bonus (Individual Perf.),4,"68,730"
AMS Practice,Bonus (Individual Perf.),5,"63,465"
AMS Practice,Bonus (Individual Perf.),6,"103,617"
