Cost Center Name,Summary Account,Period,Sum of USD Current Year Rate
AIS Practice,Bonus (Firm Perf.),1,"23,976"
AIS Practice,Bonus (Firm Perf.),2,"-8,381"
AIS Practice,Bonus (Firm Perf.),3,231
AIS Practice,Bonus (Individual Perf.),1,"42,344"
AIS Practice,Bonus (Individual Perf.),2,"43,239"
AIS Practice,Bonus (Individual Perf.),3,"42,377"
AIS Practice,Bonus (Signing),1,284
AIS Practice,Bonus (Signing),2,286
AIS Practice,Bonus (Signing),3,279
AIS Practice,Fringe / Benefits,1,"19,101"
AIS Practice,Fringe / Benefits,2,"13,918"
AIS Practice,Fringe / Benefits,3,"29,295"
AIS Practice,Other Compensation,2,"-87,975"
AIS Practice,Salary,1,"143,984"
AIS Practice,Salary,2,"158,008"
AIS Practice,Salary,3,"141,246"
AMS Practice,Bonus (Firm Perf.),1,"40,160"
AMS Practice,Bonus (Firm Perf.),2,"-13,523"
AMS Practice,Bonus (Firm Perf.),3,"-3,824"
AMS Practice,Bonus (Individual Perf.),1,"81,045"
AMS Practice,Bonus (Individual Perf.),2,"61,102"
AMS Practice,Bonus (Individual Perf.),3,"4,677"
AMS Practice,Bonus (Signing),1,114
AMS Practice,Bonus (Signing),2,114
AMS Practice,Bonus (Signing),3,111
AMS Practice,Fringe / Benefits,1,"93,932"
AMS Practice,Fringe / Benefits,2,"55,756"
AMS Practice,Fringe / Benefits,3,"26,735"
AMS Practice,Salary,1,"193,800"
AMS Practice,Salary,2,"190,341"
AMS Practice,Salary,3,"189,043"
Commercial Operations,Bonus (Firm Perf.),1,"18,575"
Commercial Operations,Bonus (Firm Perf.),2,"-9,973"
Commercial Operations,Bonus (Firm Perf.),3,"6,729"
Commercial Operations,Bonus (Individual Perf.),1,"-5,761"
Commercial Operations,Bonus (Individual Perf.),2,"45,538"
Commercial Operations,Bonus (Individual Perf.),3,"45,847"
Commercial Operations,Bonus (Signing),1,318
Commercial Operations,Bonus (Signing),2,320
Commercial Operations,Bonus (Signing),3,312
Commercial Operations,Fringe / Benefits,1,"41,245"
Commercial Operations,Fringe / Benefits,2,"49,974"
Commercial Operations,Fringe / Benefits,3,"58,783"
Commercial Operations,Other Compensation,1,"-25,571"
Commercial Operations,Other Compensation,2,0
Commercial Operations,Salary,1,"178,532"
Commercial Operations,Salary,2,"191,033"
Commercial Operations,Salary,3,"192,324"
CP Practice,Bonus (Firm Perf.),1,"39,106"
CP Practice,Bonus (Firm Perf.),2,"-11,327"
CP Practice,Bonus (Firm Perf.),3,"2,083"
CP Practice,Bonus (Individual Perf.),1,"85,666"
CP Practice,Bonus (Individual Perf.),2,"52,659"
CP Practice,Bonus (Individual Perf.),3,"46,708"
CP Practice,Bonus (Signing),1,296
CP Practice,Bonus (Signing),2,297
CP Practice,Bonus (Signing),3,290
CP Practice,Fringe / Benefits,1,"64,144"
CP Practice,Fringe / Benefits,2,"24,871"
CP Practice,Fringe / Benefits,3,"40,978"
CP Practice,Salary,1,"171,544"
CP Practice,Salary,2,"189,268"
CP Practice,Salary,3,"181,993"
Customer Practice,Bonus (Firm Perf.),1,"35,671"
Customer Practice,Bonus (Firm Perf.),2,"-12,226"
Customer Practice,Bonus (Firm Perf.),3,"3,662"
Customer Practice,Bonus (Individual Perf.),1,"72,532"
Customer Practice,Bonus (Individual Perf.),2,"137,453"
Customer Practice,Bonus (Individual Perf.),3,"38,152"
Customer Practice,Bonus (Signing),1,216
Customer Practice,Bonus (Signing),2,217
Customer Practice,Bonus (Signing),3,212
Customer Practice,Fringe / Benefits,1,"43,903"
Customer Practice,Fringe / Benefits,2,"44,503"
Customer Practice,Fringe / Benefits,3,"72,038"
Customer Practice,Other Compensation,1,"10,507"
Customer Practice,Other Compensation,2,"-67,239"
Customer Practice,Salary,1,"257,411"
Customer Practice,Salary,2,"253,474"
Customer Practice,Salary,3,"251,551"
ENR Practice,Bonus (Firm Perf.),1,"26,494"
ENR Practice,Bonus (Firm Perf.),2,"-8,665"
ENR Practice,Bonus (Firm Perf.),3,"8,000"
ENR Practice,Bonus (Individual Perf.),1,"66,468"
ENR Practice,Bonus (Individual Perf.),2,"35,175"
ENR Practice,Bonus (Individual Perf.),3,"29,095"
ENR Practice,Bonus (Signing),1,91
ENR Practice,Bonus (Signing),2,92
ENR Practice,Bonus (Signing),3,89
ENR Practice,Fringe / Benefits,1,"66,666"
ENR Practice,Fringe / Benefits,2,"4,903"
ENR Practice,Fringe / Benefits,3,"59,383"
ENR Practice,Other Compensation,1,"96,556"
ENR Practice,Other Compensation,2,"-55,929"
ENR Practice,Other Compensation,3,"-10,449"
ENR Practice,Salary,1,"157,960"
ENR Practice,Salary,2,"155,180"
ENR Practice,Salary,3,"165,193"
ET Practice,Bonus (Firm Perf.),1,"19,937"
ET Practice,Bonus (Firm Perf.),2,"-7,543"
ET Practice,Bonus (Firm Perf.),3,"2,116"
ET Practice,Bonus (Individual Perf.),1,"41,488"
ET Practice,Bonus (Individual Perf.),2,"38,237"
ET Practice,Bonus (Individual Perf.),3,"4,371"
ET Practice,Bonus (Signing),1,114
ET Practice,Bonus (Signing),2,114
ET Practice,Bonus (Signing),3,111
ET Practice,Fringe / Benefits,1,"31,378"
ET Practice,Fringe / Benefits,2,"24,382"
ET Practice,Fringe / Benefits,3,"49,210"
ET Practice,Salary,1,"141,764"
ET Practice,Salary,2,"140,955"
ET Practice,Salary,3,"136,629"
